Dag	Transport
1,	1.9621
2,	1.9655
3,	1.9729
4,	1.9826
5,	1.9922
6,	1.9998
7,	2.0044
8,	2.0066
9,	2.0086
10,	2.0134
11,	2.0247
12,	2.0451
13,	2.0763
14,	2.1175
15,	2.1658
16,	2.2157
17,	2.2608
18,	2.295
19,	2.3138
20,	2.3156
21,	2.301
22,	2.2732
23,	2.236
24,	2.1933
25,	2.1479
26,	2.1007
27,	2.0513
28,	1.9984
29,	1.9417
30,	1.8821
31,	1.8227
32,	1.7682
33,	1.7238
34,	1.6943
35,	1.6825
36,	1.6881
37,	1.7077
38,	1.7358
39,	1.7662
40,	1.7937
41,	1.8137
42,	1.8231
43,	1.8199
44,	1.8034
45,	1.7746
46,	1.7367
47,	1.6944
48,	1.6533
49,	1.619
50,	1.5957
51,	1.5855
52,	1.5876
53,	1.5987
54,	1.6132
55,	1.6247
56,	1.628
57,	1.6203
58,	1.6033
59,	1.5825
60,	1.5659
61,	1.5616
62,	1.5749
63,	1.6078
64,	1.6585
65,	1.7227
66,	1.7948
67,	1.8684
68,	1.9369
69,	1.9937
70,	2.0325
71,	2.0482
72,	2.0383
73,	2.0037
74,	1.9491
75,	1.8835
76,	1.8183
77,	1.7659
78,	1.7367
79,	1.7372
80,	1.7683
81,	1.8246
82,	1.896
83,	1.9691
84,	2.0298
85,	2.0657
86,	2.0682
87,	2.0339
88,	1.9646
89,	1.866
90,	1.747
91,	1.6184
92,	1.4908
93,	1.3745
94,	1.2777
95,	1.2063
96,	1.1635
97,	1.1492
98,	1.1601
99,	1.1897
100,	1.2293
101,	1.2695
102,	1.3018
103,	1.3202
104,	1.3217
105,	1.3065
106,	1.2777
107,	1.2405
108,	1.2012
109,	1.1667
110,	1.143
111,	1.1348
112,	1.1453
113,	1.1753
114,	1.224
115,	1.2889
116,	1.366
117,	1.4504
118,	1.5361
119,	1.6166
120,	1.6859
121,	1.7397
122,	1.7762
123,	1.7959

